TimeElapsed,Humidity,Temperature,Target,Heater
00:00:00,NAN,NAN,NAN,NAN
00:00:10,NAN,NAN,NAN,NAN
00:00:20,99.3,-45.0,60.0,ON
00:00:30,99.7,25.2,60.0,ON
00:00:40,100.0,25.2,60.0,ON
00:00:50,100.0,25.3,60.0,ON
00:01:00,100.0,25.4,60.0,ON
00:01:10,100.0,25.5,60.0,ON
00:01:20,100.0,25.6,60.0,ON
00:01:30,100.0,25.6,60.0,ON
00:01:40,100.0,25.7,60.0,ON
00:01:50,100.0,25.8,60.0,ON
00:02:00,100.0,25.9,60.0,ON
00:02:10,100.0,26.0,60.0,ON
00:02:20,100.0,26.1,60.0,ON
00:02:30,100.0,26.1,60.0,ON
00:02:40,100.0,26.2,60.0,ON
00:02:50,100.0,26.3,60.0,ON
00:03:00,100.0,26.4,60.0,ON
00:03:10,100.0,26.5,60.0,ON
00:03:20,100.0,26.5,60.0,ON
00:03:30,100.0,26.6,60.0,ON
00:03:40,100.0,26.7,60.0,ON
00:03:50,100.0,26.8,60.0,ON
00:04:00,100.0,26.9,60.0,ON
00:04:10,100.0,27.0,60.0,ON
00:04:20,100.0,27.1,60.0,ON
00:04:30,100.0,27.2,60.0,ON
00:04:40,100.0,27.3,60.0,ON
00:04:50,100.0,27.3,60.0,ON
00:05:00,100.0,27.4,60.0,ON
00:05:10,100.0,27.5,60.0,ON
00:05:20,100.0,27.6,60.0,ON
00:05:30,100.0,27.7,60.0,ON
00:05:40,100.0,27.8,60.0,ON
00:05:50,100.0,27.9,60.0,ON
00:06:00,100.0,28.0,60.0,ON
00:06:10,100.0,28.1,60.0,ON
00:06:20,100.0,28.2,60.0,ON
00:06:30,100.0,28.3,60.0,ON
00:06:40,100.0,28.4,60.0,ON
00:06:50,100.0,28.5,60.0,ON
00:07:00,99.7,28.6,60.0,ON
00:07:10,99.4,28.6,60.0,ON
00:07:20,98.9,28.8,60.0,ON
00:07:30,98.7,28.8,60.0,ON
00:07:40,98.3,29.0,60.0,ON
00:07:50,97.9,29.0,60.0,ON
00:08:00,97.2,29.1,60.0,ON
00:08:10,97.0,29.2,60.0,ON
00:08:20,96.6,29.3,60.0,ON
00:08:30,96.2,29.5,60.0,ON
00:08:40,95.5,29.5,60.0,ON
00:08:50,95.3,29.6,60.0,ON
00:09:00,94.7,29.7,60.0,ON
00:09:10,94.3,29.8,60.0,ON
00:09:20,93.9,29.9,60.0,ON
00:09:30,93.4,30.0,60.0,ON
00:09:40,93.0,30.1,60.0,ON
00:09:50,92.4,30.3,60.0,ON
00:10:00,92.0,30.3,60.0,ON
00:10:10,91.5,30.5,60.0,ON
00:10:20,90.8,30.5,60.0,ON
00:10:30,90.3,30.7,60.0,ON
00:10:40,90.0,30.8,60.0,ON
00:10:50,89.6,30.9,60.0,ON
00:11:00,89.2,31.0,60.0,ON
00:11:10,88.7,31.1,60.0,ON
00:11:20,88.2,31.2,60.0,ON
00:11:30,87.8,31.3,60.0,ON
00:11:40,87.2,31.4,60.0,ON
00:11:50,86.9,31.5,60.0,ON
00:12:00,86.4,31.6,60.0,ON
00:12:10,85.8,31.7,60.0,ON
00:12:20,85.2,31.8,60.0,ON
00:12:30,84.9,31.9,60.0,ON
00:12:40,84.3,32.0,60.0,ON
00:12:50,83.6,32.1,60.0,ON
00:13:00,82.9,32.2,60.0,ON
00:13:10,82.4,32.3,60.0,ON
00:13:20,81.9,32.5,60.0,ON
00:13:30,81.4,32.5,60.0,ON
00:13:40,81.0,32.7,60.0,ON
00:13:50,80.6,32.8,60.0,ON
00:14:00,80.3,32.9,60.0,ON
00:14:10,79.8,33.0,60.0,ON
00:14:20,79.4,33.1,60.0,ON
00:14:30,79.1,33.2,60.0,ON
00:14:40,78.7,33.3,60.0,ON
00:14:50,78.3,33.4,60.0,ON
00:15:00,77.8,33.5,60.0,ON
00:15:10,77.6,33.6,60.0,ON
00:15:20,77.0,33.7,60.0,ON
00:15:30,76.8,33.8,60.0,ON
00:15:40,76.4,33.9,60.0,ON
00:15:50,76.0,34.0,60.0,ON
00:16:00,75.5,34.1,60.0,ON
00:16:10,75.2,34.3,60.0,ON
00:16:20,74.8,34.3,60.0,ON
00:16:30,74.4,34.5,60.0,ON
00:16:40,74.2,34.6,60.0,ON
00:16:50,73.8,34.7,60.0,ON
00:17:00,73.3,34.8,60.0,ON
00:17:10,72.9,34.9,60.0,ON
