TimeElapsed,Humidity,Temperature,Target,Heater
00:00:00,NAN,NAN,NAN,NAN
00:00:10,NAN,NAN,NAN,NAN
00:00:20,8.4,-45.0,60.0,ON
00:00:30,8.6,59.8,60.0,ON
00:00:40,8.6,59.8,60.0,ON
00:00:50,8.6,59.8,60.0,ON
00:01:00,8.5,59.8,60.0,ON
00:01:10,8.6,59.7,60.0,ON
00:01:20,8.7,59.7,60.0,ON
00:01:30,8.5,59.7,60.0,ON
00:01:40,8.5,59.7,60.0,ON
00:01:50,8.5,59.7,60.0,ON
00:02:00,8.5,59.7,60.0,ON
00:02:10,8.6,59.7,60.0,ON
00:02:20,8.8,59.7,60.0,ON
00:02:30,8.7,59.7,60.0,ON
00:02:40,8.6,59.7,60.0,ON
00:02:50,8.6,59.7,60.0,ON
00:03:00,8.5,59.7,60.0,ON
00:03:10,8.5,59.7,60.0,ON
00:03:20,8.4,59.7,60.0,ON
00:03:30,8.3,59.7,60.0,ON
00:03:40,8.1,59.7,60.0,ON
00:03:50,8.2,59.7,60.0,ON
00:04:00,8.2,59.7,60.0,ON
00:04:10,8.2,59.7,60.0,ON
00:04:20,8.0,59.7,60.0,ON
00:04:30,8.1,59.7,60.0,ON
00:04:40,8.0,59.7,60.0,ON
00:04:50,8.1,59.7,60.0,ON
00:05:00,8.0,59.7,60.0,ON
00:05:10,8.1,59.7,60.0,ON
00:05:20,8.0,59.7,60.0,ON
00:05:30,8.1,59.7,60.0,ON
00:05:40,8.0,59.7,60.0,ON
00:05:50,8.1,59.7,60.0,ON
00:06:00,8.1,59.7,60.0,ON
00:06:10,8.1,59.7,60.0,ON
00:06:20,8.1,59.7,60.0,ON
00:06:30,8.3,59.7,60.0,ON
00:06:40,8.3,59.8,60.0,ON
00:06:50,8.2,59.8,60.0,ON
00:07:00,8.2,59.8,60.0,ON
00:07:10,8.2,59.8,60.0,ON
00:07:20,8.3,59.8,60.0,ON
00:07:30,8.2,59.8,60.0,ON
00:07:40,8.2,59.8,60.0,ON
00:07:50,8.2,59.8,60.0,ON
00:08:00,8.4,59.8,60.0,ON
00:08:10,8.4,59.9,60.0,ON
00:08:20,8.4,59.9,60.0,ON
00:08:30,8.4,59.9,60.0,ON
00:08:40,8.3,59.9,60.0,ON
00:08:50,8.3,59.9,60.0,ON
00:09:00,8.5,59.9,60.0,ON
00:09:10,8.3,59.9,60.0,ON
00:09:20,8.1,59.9,60.0,ON
00:09:30,7.9,59.9,60.0,ON
00:09:40,7.9,60.0,60.0,ON
00:09:50,7.9,60.0,60.0,ON
00:10:00,8.0,60.0,60.0,ON
00:10:10,8.1,60.0,60.0,OFF
00:10:20,8.0,60.0,60.0,OFF
00:10:30,8.1,60.0,60.0,OFF
00:10:40,8.2,60.0,60.0,OFF
00:10:50,8.1,60.0,60.0,OFF
00:11:00,8.2,60.0,60.0,OFF
00:11:10,8.1,60.1,60.0,OFF
00:11:20,8.0,60.1,60.0,OFF
00:11:30,7.9,60.1,60.0,OFF
00:11:40,7.9,60.1,60.0,OFF
00:11:50,7.9,60.1,60.0,OFF
00:12:00,7.8,60.1,60.0,OFF
00:12:10,7.8,60.1,60.0,OFF
00:12:20,7.9,60.1,60.0,OFF
00:12:30,7.9,60.1,60.0,OFF
00:12:40,7.7,60.1,60.0,OFF
00:12:50,7.9,60.1,60.0,OFF
00:13:00,7.8,60.1,60.0,OFF
00:13:10,7.6,60.0,60.0,OFF
00:13:20,7.6,60.0,60.0,OFF
00:13:30,7.6,60.0,60.0,OFF
00:13:40,7.7,60.0,60.0,OFF
00:13:50,7.6,60.0,60.0,ON
00:14:00,7.7,60.0,60.0,ON
00:14:10,7.7,60.0,60.0,ON
00:14:20,7.6,60.0,60.0,ON
00:14:30,7.7,59.9,60.0,ON
00:14:40,7.7,59.9,60.0,ON
00:14:50,7.6,59.9,60.0,ON
00:15:00,7.8,59.9,60.0,ON
00:15:10,7.8,59.9,60.0,ON
00:15:20,7.8,59.9,60.0,ON
00:15:30,7.9,59.8,60.0,ON
00:15:40,7.8,59.8,60.0,ON
00:15:50,7.9,59.8,60.0,ON
00:16:00,8.0,59.8,60.0,ON
00:16:10,8.0,59.8,60.0,ON
00:16:20,7.9,59.8,60.0,ON
00:16:30,7.9,59.8,60.0,ON
00:16:40,8.0,59.8,60.0,ON
00:16:50,8.0,59.8,60.0,ON
00:17:00,8.0,59.8,60.0,ON
