TimeElapsed,Humidity,Temperature,Target,Heater
00:00:00,NAN,NAN,NAN,NAN
00:00:10,1.3,60.0,60.0,OFF
00:00:20,NAN,NAN,NAN,NAN
00:00:30,1.3,60.0,60.0,OFF
00:00:40,NAN,NAN,NAN,NAN
00:00:50,NAN,NAN,NAN,NAN
00:01:00,1.0,-45.0,60.0,ON
00:01:10,1.0,60.0,60.0,OFF
00:01:20,1.0,60.0,60.0,ON
00:01:30,1.0,60.0,60.0,ON
00:01:40,1.1,59.9,60.0,ON
00:01:50,1.2,59.9,60.0,ON
00:02:00,1.1,59.9,60.0,ON
00:02:10,1.1,59.9,60.0,ON
00:02:20,1.1,59.8,60.0,ON
00:02:30,1.1,59.8,60.0,ON
00:02:40,1.3,59.8,60.0,ON
00:02:50,1.5,59.8,60.0,ON
00:03:00,1.5,59.8,60.0,ON
00:03:10,1.4,59.8,60.0,ON
00:03:20,1.4,59.8,60.0,ON
00:03:30,1.3,59.7,60.0,ON
00:03:40,1.5,59.7,60.0,ON
00:03:50,1.4,59.7,60.0,ON
00:04:00,1.5,59.7,60.0,ON
00:04:10,1.5,59.7,60.0,ON
00:04:20,1.8,59.7,60.0,ON
00:04:30,1.5,59.7,60.0,ON
00:04:40,1.6,59.7,60.0,ON
00:04:50,1.6,59.7,60.0,ON
00:05:00,1.6,59.7,60.0,ON
00:05:10,1.6,59.6,60.0,ON
00:05:20,1.5,59.6,60.0,ON
00:05:30,1.5,59.6,60.0,ON
00:05:40,1.7,59.6,60.0,ON
00:05:50,1.5,59.6,60.0,ON
00:06:00,1.7,59.6,60.0,ON
00:06:10,1.6,59.6,60.0,ON
00:06:20,1.7,59.6,60.0,ON
00:06:30,1.5,59.6,60.0,ON
00:06:40,1.6,59.6,60.0,ON
00:06:50,1.5,59.6,60.0,ON
00:07:00,1.6,59.6,60.0,ON
00:07:10,1.7,59.5,60.0,ON
00:07:20,1.6,59.6,60.0,ON
00:07:30,1.7,59.6,60.0,ON
00:07:40,1.6,59.5,60.0,ON
00:07:50,1.7,59.6,60.0,ON
00:08:00,1.8,59.5,60.0,ON
00:08:10,1.8,59.5,60.0,ON
00:08:20,1.9,59.5,60.0,ON
00:08:30,1.8,59.5,60.0,ON
00:08:40,1.8,59.5,60.0,ON
00:08:50,1.8,59.5,60.0,ON
00:09:00,1.8,59.5,60.0,ON
00:09:10,1.7,59.5,60.0,ON
