TimeElapsed,Humidity,Temperature,Target,Heater
00:00:00,NAN,NAN,NAN,NAN
00:00:10,4.5,59.8,60.0,ON
00:00:20,NAN,NAN,NAN,NAN
00:00:30,NAN,NAN,NAN,NAN
00:00:40,4.5,-45.0,60.0,ON
00:00:50,4.4,59.9,60.0,ON
00:01:00,4.5,59.9,60.0,ON
00:01:10,4.5,60.0,60.0,ON
00:01:20,4.3,60.0,60.0,ON
00:01:30,4.3,60.0,60.0,OFF
00:01:40,4.3,60.0,60.0,OFF
00:01:50,4.5,60.0,60.0,OFF
00:02:00,4.4,60.1,60.0,OFF
00:02:10,4.3,60.1,60.0,OFF
00:02:20,4.4,60.1,60.0,OFF
00:02:30,4.5,60.1,60.0,OFF
00:02:40,4.5,60.1,60.0,OFF
00:02:50,4.4,60.2,60.0,OFF
00:03:00,4.5,60.2,60.0,OFF
00:03:10,4.4,60.2,60.0,OFF
00:03:20,4.5,60.2,60.0,OFF
00:03:30,4.4,60.2,60.0,OFF
00:03:40,4.5,60.2,60.0,OFF
00:03:50,4.6,60.2,60.0,OFF
00:04:00,4.5,60.2,60.0,OFF
00:04:10,4.5,60.2,60.0,OFF
00:04:20,4.5,60.2,60.0,OFF
00:04:30,4.4,60.2,60.0,OFF
00:04:40,4.4,60.2,60.0,OFF
00:04:50,4.2,60.2,60.0,OFF
00:05:00,4.4,60.2,60.0,OFF
00:05:10,4.4,60.2,60.0,OFF
00:05:20,4.2,60.2,60.0,OFF
00:05:30,4.2,60.2,60.0,OFF
00:05:40,4.2,60.2,60.0,OFF
00:05:50,4.3,60.2,60.0,OFF
00:06:00,4.1,60.2,60.0,OFF
00:06:10,4.2,60.2,60.0,OFF
00:06:20,4.1,60.2,60.0,OFF
00:06:30,4.0,60.1,60.0,OFF
00:06:40,4.1,60.1,60.0,OFF
00:06:50,4.0,60.1,60.0,OFF
00:07:00,4.1,60.1,60.0,OFF
00:07:10,4.1,60.1,60.0,OFF
00:07:20,3.9,60.0,60.0,OFF
00:07:30,4.1,60.0,60.0,OFF
00:07:40,4.0,60.0,60.0,OFF
00:07:50,4.1,60.0,60.0,ON
00:08:00,3.9,60.0,60.0,ON
00:08:10,4.0,60.0,60.0,ON
00:08:20,4.1,59.9,60.0,ON
00:08:30,4.1,59.9,60.0,ON
00:08:40,3.9,59.9,60.0,ON
00:08:50,4.1,59.8,60.0,ON
00:09:00,4.3,59.8,60.0,ON
00:09:10,4.2,59.8,60.0,ON
00:09:20,4.1,59.8,60.0,ON
00:09:30,4.2,59.8,60.0,ON
00:09:40,4.2,59.7,60.0,ON
00:09:50,4.1,59.7,60.0,ON
00:10:00,4.3,59.7,60.0,ON
00:10:10,4.2,59.7,60.0,ON
00:10:20,4.1,59.7,60.0,ON
00:10:30,4.3,59.7,60.0,ON
00:10:40,4.2,59.6,60.0,ON
00:10:50,4.4,59.6,60.0,ON
00:11:00,4.4,59.6,60.0,ON
00:11:10,4.4,59.6,60.0,ON
00:11:20,4.3,59.6,60.0,ON
00:11:30,4.3,59.6,60.0,ON
00:11:40,4.4,59.6,60.0,ON
00:11:50,4.5,59.5,60.0,ON
00:12:00,4.3,59.5,60.0,ON
00:12:10,4.4,59.5,60.0,ON
00:12:20,4.3,59.5,60.0,ON
00:12:30,4.4,59.5,60.0,ON
00:12:40,4.3,59.5,60.0,ON
00:12:50,4.4,59.5,60.0,ON
00:13:00,4.3,59.5,60.0,ON
00:13:10,4.4,59.5,60.0,ON
00:13:20,4.5,59.5,60.0,ON
00:13:30,4.4,59.5,60.0,ON
00:13:40,4.5,59.5,60.0,ON
00:13:50,4.4,59.5,60.0,ON
00:14:00,4.6,59.5,60.0,ON
00:14:10,4.6,59.5,60.0,ON
00:14:20,4.4,59.5,60.0,ON
00:14:30,4.5,59.5,60.0,ON
00:14:40,4.5,59.5,60.0,ON
00:14:50,4.6,59.5,60.0,ON
00:15:00,4.6,59.4,60.0,ON
00:15:10,4.7,59.5,60.0,ON
00:15:20,4.5,59.5,60.0,ON
00:15:30,4.5,59.4,60.0,ON
00:15:40,4.5,59.5,60.0,ON
00:15:50,4.4,59.5,60.0,ON
00:16:00,4.5,59.5,60.0,ON
00:16:10,4.6,59.5,60.0,ON
00:16:20,4.6,59.5,60.0,ON
00:16:30,4.6,59.5,60.0,ON
00:16:40,4.6,59.5,60.0,ON
00:16:50,4.7,59.5,60.0,ON
00:17:00,4.6,59.5,60.0,ON
00:17:10,4.5,59.5,60.0,ON
00:17:20,4.5,59.5,60.0,ON
00:17:30,4.6,59.5,60.0,ON
00:17:40,4.7,59.5,60.0,ON
00:17:50,4.6,59.5,60.0,ON
00:18:00,4.6,59.5,60.0,ON
00:18:10,4.7,59.5,60.0,ON
00:18:20,4.6,59.5,60.0,ON
00:18:30,4.6,59.5,60.0,ON
00:18:40,4.7,59.5,60.0,ON
00:18:50,4.7,59.5,60.0,ON
00:19:00,4.9,59.5,60.0,ON
00:19:10,4.7,59.5,60.0,ON
00:19:20,4.6,59.5,60.0,ON
00:19:30,4.7,59.5,60.0,ON
00:19:40,4.5,59.6,60.0,ON
00:19:50,4.5,59.6,60.0,ON
00:20:00,4.7,59.6,60.0,ON
00:20:10,4.7,59.6,60.0,ON
00:20:20,4.7,59.6,60.0,ON
00:20:30,4.5,59.6,60.0,ON
00:20:40,4.8,59.6,60.0,ON
00:20:50,4.7,59.6,60.0,ON
00:21:00,4.7,59.6,60.0,ON
00:21:10,4.8,59.6,60.0,ON
00:21:20,5.0,59.6,60.0,ON
00:21:30,4.7,59.7,60.0,ON
00:21:40,4.9,59.7,60.0,ON
00:21:50,4.8,59.7,60.0,ON
00:22:00,4.8,59.7,60.0,ON
00:22:10,4.8,59.7,60.0,ON
00:22:20,4.8,59.7,60.0,ON
00:22:30,4.9,59.7,60.0,ON
00:22:40,4.9,59.7,60.0,ON
00:22:50,4.8,59.7,60.0,ON
00:23:00,4.9,59.8,60.0,ON
00:23:10,4.9,59.8,60.0,ON
00:23:20,4.9,59.8,60.0,ON
00:23:30,4.9,59.8,60.0,ON
00:23:40,4.7,59.8,60.0,ON
00:23:50,4.8,59.8,60.0,ON
00:24:00,4.7,59.8,60.0,ON
00:24:10,4.7,59.9,60.0,ON
00:24:20,4.8,59.9,60.0,ON
00:24:30,4.7,59.9,60.0,ON
00:24:40,4.7,59.9,60.0,ON
00:24:50,4.6,59.9,60.0,ON
00:25:00,4.6,60.0,60.0,ON
00:25:10,4.6,60.0,60.0,ON
00:25:20,4.8,60.0,60.0,ON
00:25:30,4.7,60.0,60.0,OFF
00:25:40,4.6,60.0,60.0,OFF
00:25:50,4.6,60.0,60.0,OFF
00:26:00,4.7,60.1,60.0,OFF
00:26:10,4.7,60.1,60.0,OFF
00:26:20,4.6,60.1,60.0,OFF
00:26:30,4.8,60.1,60.0,OFF
00:26:40,4.8,60.1,60.0,OFF
00:26:50,4.6,60.1,60.0,OFF
00:27:00,4.6,60.1,60.0,OFF
00:27:10,4.6,60.1,60.0,OFF
00:27:20,4.6,60.1,60.0,OFF
00:27:30,4.4,60.1,60.0,OFF
00:27:40,4.3,60.1,60.0,OFF
00:27:50,4.4,60.1,60.0,OFF
00:28:00,4.4,60.1,60.0,OFF
00:28:10,4.4,60.1,60.0,OFF
00:28:20,4.3,60.1,60.0,OFF
00:28:30,4.1,60.1,60.0,OFF
00:28:40,4.1,60.1,60.0,OFF
00:28:50,4.1,60.1,60.0,OFF
00:29:00,4.1,60.1,60.0,OFF
00:29:10,4.1,60.1,60.0,OFF
00:29:20,4.0,60.1,60.0,OFF
00:29:30,4.0,60.0,60.0,OFF
00:29:40,3.9,60.0,60.0,OFF
00:29:50,3.9,60.0,60.0,OFF
00:30:00,4.0,60.0,60.0,ON
00:30:10,4.0,60.0,60.0,ON
00:30:20,4.1,59.9,60.0,ON
00:30:30,4.0,59.9,60.0,ON
00:30:40,3.9,59.9,60.0,ON
00:30:50,4.0,59.9,60.0,ON
00:31:00,4.0,59.9,60.0,ON
00:31:10,NAN,NAN,NAN,NAN
00:31:20,3.3,60.0,60.0,OFF
00:31:30,NAN,NAN,NAN,NAN
00:31:40,3.3,60.0,60.0,OFF
00:31:50,3.4,60.0,60.0,ON
00:32:00,3.4,60.0,60.0,ON
00:32:10,3.5,59.9,60.0,ON
00:32:20,3.5,59.9,60.0,ON
00:32:30,3.7,59.9,60.0,ON
00:32:40,3.6,59.9,60.0,ON
00:32:50,3.8,59.8,60.0,ON
00:33:00,3.7,59.8,60.0,ON
00:33:10,3.7,59.8,60.0,ON
00:33:20,3.8,59.8,60.0,ON
00:33:30,3.8,59.8,60.0,ON
00:33:40,3.8,59.7,60.0,ON
00:33:50,3.8,59.7,60.0,ON
00:34:00,3.8,59.7,60.0,ON
00:34:10,4.0,59.7,60.0,ON
00:34:20,4.0,59.7,60.0,ON
00:34:30,3.8,59.7,60.0,ON
00:34:40,3.9,59.7,60.0,ON
00:34:50,4.0,59.7,60.0,ON
00:35:00,4.1,59.7,60.0,ON
00:35:10,4.0,59.7,60.0,ON
00:35:20,4.0,59.7,60.0,ON
00:35:30,3.9,59.7,60.0,ON
00:35:40,4.0,59.7,60.0,ON
00:35:50,3.9,59.7,60.0,ON
00:36:00,4.1,59.7,60.0,ON
00:36:10,3.9,59.7,60.0,ON
00:36:20,4.2,59.7,60.0,ON
00:36:30,4.2,59.7,60.0,ON
00:36:40,4.2,59.7,60.0,ON
00:36:50,4.2,59.7,60.0,ON
00:37:00,4.3,59.7,60.0,ON
00:37:10,4.2,59.7,60.0,ON
00:37:20,4.2,59.7,60.0,ON
00:37:30,4.3,59.7,60.0,ON
00:37:40,4.3,59.7,60.0,ON
00:37:50,4.4,59.7,60.0,ON
00:38:00,4.2,59.7,60.0,ON
00:38:10,4.1,59.7,60.0,ON
00:38:20,4.1,59.7,60.0,ON
00:38:30,4.1,59.8,60.0,ON
00:38:40,4.2,59.8,60.0,ON
00:38:50,4.1,59.8,60.0,ON
00:39:00,4.2,59.8,60.0,ON
00:39:10,4.1,59.8,60.0,ON
00:39:20,4.2,59.8,60.0,ON
00:39:30,4.3,59.8,60.0,ON
00:39:40,4.3,59.8,60.0,ON
00:39:50,4.3,59.8,60.0,ON
00:40:00,4.4,59.9,60.0,ON
00:40:10,4.3,59.9,60.0,ON
00:40:20,4.6,59.9,60.0,ON
00:40:30,4.4,59.9,60.0,ON
00:40:40,4.3,60.0,60.0,ON
00:40:50,4.5,60.0,60.0,ON
00:41:00,4.5,60.0,60.0,ON
00:41:10,4.4,60.0,60.0,OFF
00:41:20,4.4,60.0,60.0,OFF
00:41:30,4.5,60.0,60.0,OFF
00:41:40,NAN,NAN,NAN,NAN
00:41:50,NAN,NAN,NAN,NAN
00:42:00,3.3,59.8,60.0,ON
00:42:10,NAN,NAN,NAN,NAN
00:42:20,3.3,59.8,60.0,ON
00:42:30,3.3,59.7,60.0,ON
00:42:40,3.4,59.7,60.0,ON
00:42:50,3.5,59.7,60.0,ON
00:43:00,3.4,59.7,60.0,ON
00:43:10,3.5,59.7,60.0,ON
00:43:20,3.5,59.7,60.0,ON
00:43:30,3.6,59.7,60.0,ON
00:43:40,3.5,59.7,60.0,ON
00:43:50,3.5,59.7,60.0,ON
00:44:00,3.6,59.7,60.0,ON
00:44:10,3.7,59.7,60.0,ON
00:44:20,3.8,59.7,60.0,ON
00:44:30,3.8,59.7,60.0,ON
00:44:40,3.7,59.7,60.0,ON
00:44:50,3.7,59.7,60.0,ON
00:45:00,3.7,59.7,60.0,ON
00:45:10,3.7,59.7,60.0,ON
00:45:20,3.8,59.7,60.0,ON
00:45:30,3.8,59.7,60.0,ON
00:45:40,3.8,59.7,60.0,ON
00:45:50,3.7,59.7,60.0,ON
00:46:00,3.6,59.7,60.0,ON
00:46:10,3.9,59.7,60.0,ON
00:46:20,3.8,59.7,60.0,ON
00:46:30,3.8,59.7,60.0,ON
00:46:40,3.9,59.7,60.0,ON
00:46:50,4.0,59.8,60.0,ON
00:47:00,4.0,59.8,60.0,ON
00:47:10,3.9,59.8,60.0,ON
00:47:20,3.8,59.8,60.0,ON
00:47:30,3.8,59.8,60.0,ON
00:47:40,3.7,59.8,60.0,ON
00:47:50,3.8,59.8,60.0,ON
00:48:00,3.8,59.9,60.0,ON
00:48:10,3.8,59.9,60.0,ON
00:48:20,3.8,59.9,60.0,ON
00:48:30,3.8,59.9,60.0,ON
00:48:40,3.7,59.9,60.0,ON
00:48:50,3.7,59.9,60.0,ON
00:49:00,3.8,60.0,60.0,ON
00:49:10,3.8,60.0,60.0,ON
00:49:20,3.7,60.0,60.0,ON
00:49:30,3.8,60.0,60.0,OFF
00:49:40,3.7,60.0,60.0,OFF
00:49:50,3.8,60.0,60.0,OFF
00:50:00,3.9,60.1,60.0,OFF
00:50:10,3.8,60.1,60.0,OFF
